 Nov 2025 - USD RATES ,,,,, Oct 2025 - USD RATES ,,,
,,Current Avg,Current PE,,,,Current Avg,Current PE
UAE Dirham,AED,3.673,3.673,,UAE Dirham,AED,3.673,3.673
Afghani,AFN,69.9251,66.38,,Afghani,AFN,70.2494,66.71
Angolan Kwanza,AOA,922.779,925.218,,Angolan Kwanza,AOA,922.698,925.0873
Australian Dollar,AUD,1.5555,1.5262,,Australian Dollar,AUD,1.5571,1.529
Bangladesh Taka,BDT,121.7232,122.1234,,Bangladesh Taka,BDT,121.6856,122.1232
Bahraini Dinar,BHD,0.377,0.377,,Bahraini Dinar,BHD,0.377,0.377
Bermudian Dollar,BMD,1,1,,Bermudian Dollar,BMD,1,1
Brunei Dollar,BND,1.3085,1.2987,,Brunei Dollar,BND,1.309,1.3011
Brazilian Real,BRL,5.5982,5.3351,,Brazilian Real,BRL,5.6223,5.38
Botswana Pula,BWP,13.8951,14.2898,,Botswana Pula,BWP,13.8584,14.2792
Canadian Dollar,CAD,1.3991,1.396,,Canadian Dollar,CAD,1.3984,1.402
Swiss Franc,CHF,0.8339,0.8038,,Swiss Franc,CHF,0.8367,0.8039
Chinese Renminbi,CNY,7.2008,7.0756,,Chinese Renminbi,CNY,7.2093,7.1174
Czech Koruna,CZK,21.9996,20.8514,,Czech Koruna,CZK,22.0951,21.1083
Danish Krone,DKK,6.6371,6.4405,,Danish Krone,DKK,6.6534,6.4757
Egyptian Pound,EGP,49.4297,47.6488,,Egyptian Pound,EGP,49.6199,47.2191
Ethiopian Birr,ETB,138.0698,153.5303,,Ethiopian Birr,ETB,136.573,152.6404
Euro,EUR,0.8893,0.8623,,Euro,EUR,0.8916,0.8672
Fiji Dollar,FJD,2.2774,2.2761,,Fiji Dollar,FJD,2.2769,2.2931
Pounds Sterling,GBP,0.7599,0.7549,,Pounds Sterling,GBP,0.7598,0.7614
Ghana Cedi,GHS,13.0077,11.278,,Ghana Cedi,GHS,13.1631,11.28
Gambian Dalasi,GMD,72.8813,74.175,,Gambian Dalasi,GMD,72.8074,73.45
Hong Kong Dollar,HKD,7.7986,7.7853,,Hong Kong Dollar,HKD,7.8005,7.7695
Indonesian Rupiah,IDR,16441.8416,16654.825,,Indonesian Rupiah,IDR,16419.1202,16629.84
Israeli Shekel,ILS,3.4731,3.2566,,Israeli Shekel,ILS,3.4932,3.2614
Indian Rupee,INR,86.8831,89.4625,,Indian Rupee,INR,86.703,88.77
Iraqi Dinar,IQD,1355.3959,1340,,Iraqi Dinar,IQD,1356.4048,1345
Iranian Rial,IRR,42013.1,42018.9,,Iranian Rial,IRR,42013.6,42006.2
Jordanian Dinar,JOD,0.709,0.709,,Jordanian Dinar,JOD,0.709,0.709
Japanese Yen,JPY,149.0043,156.2199,,Japanese Yen,JPY,148.4441,154.2119
Kenyan Shilling,KES,129.2172,129.505,,Kenyan Shilling,KES,129.1968,129.1085
South Korean Won,KRW,1416.8119,1470.55,,South Korean Won,KRW,1412.9847,1424.45
Kuwaiti Dinar,KWD,0.3068,0.3069,,Kuwaiti Dinar,KWD,0.3068,0.3069
Lebanese Pounds,LBP,89584.4546,89551.0475,,Lebanese Pounds,LBP,89586.9523,89551.062
Sri Lankan Rupee,LKR,300.0241,308.146,,Sri Lankan Rupee,LKR,299.4562,304.4281
Lesothi Maloti,LSL,17.9757,17.1195,,Lesothi Maloti,LSL,18.0442,17.3401
Morrocan Dirham,MAD,9.3642,9.25,,Morrocan Dirham,MAD,9.3733,9.2565
Macau Pataca,MOP,8.0356,8.018,,Macau Pataca,MOP,8.0376,8.0065
Mauritius Rupee,MUR,45.7311,46.1711,,Mauritius Rupee,MUR,45.7077,45.7515
Malawi Kwacha,MWK,1733.7799,1734,,Malawi Kwacha,MWK,1733.7595,1734
Mexican Nuevo Peso,MXN,19.3067,18.2999,,Mexican Nuevo Peso,MXN,19.3887,18.5606
Malaysian Ringgit,MYR,4.302,4.1301,,Malaysian Ringgit,MYR,4.3154,4.1886
Mozambique Metical,MZN,63.8165,63.813,,Mozambique Metical,MZN,63.816,63.8131
Nigerian Naira,NGN,1526.4879,1443.7,,Nigerian Naira,NGN,1534.2351,1422.8
Norwegian Kroner,NOK,10.4117,10.1199,,Norwegian Kroner,NOK,10.4354,10.1211
Nepalese Rupee,NPR,139.0087,143.14,,Nepalese Rupee,NPR,138.7202,142.03
New Zealand Dollar,NZD,1.718,1.743,,New Zealand Dollar,NZD,1.7133,1.7482
Omani Rial,OMR,0.385,0.385,,Omani Rial,OMR,0.385,0.385
Philippino Peso,PHP,57.3696,58.645,,Philippino Peso,PHP,57.2266,58.85
Pakistani Rupee,PKR,281.233,280.5231,,Pakistani Rupee,PKR,281.2793,280.9119
Polish Zloty,PLN,3.7705,3.6477,,Polish Zloty,PLN,3.78,3.6918
Qatari Rial,QAR,3.6415,3.6415,,Qatari Rial,QAR,3.6415,3.6415
Saudi Riyal,SAR,3.7511,3.7514,,Saudi Riyal,SAR,3.7512,3.7502
Seychelle Rupee,SCR,14.6548,14.8894,,Seychelle Rupee,SCR,14.6702,14.8199
Swedish Kroner,SEK,9.8586,9.4463,,Swedish Kroner,SEK,9.8908,9.4949
Singapore Dollar,SGD,1.3085,1.2987,,Singapore Dollar,SGD,1.309,1.3011
Sierra Leone Leone,SLL,22795.5,22795.5,,Sierra Leone Leone,SLL,22795.5,22795.5
Sierra Leone Leone,SLE,22.7878,22.9163,,Sierra Leone Leone,SLE,22.7751,22.9161
Swaziland Lilangeni,SZL,17.9757,17.1195,,Swaziland Lilangeni,SZL,18.0442,17.3401
Thai Baht,THB,33.0067,32.1725,,Thai Baht,THB,33.0637,32.3435
Tunisian Dinar,TND,2.9918,2.9468,,Tunisian Dinar,TND,2.9958,2.947
Turkish Lire,TRY,39.2117,42.3835,,Turkish Lire,TRY,38.9326,41.9457
Taiwan Dollar,TWD,31.1317,31.4375,,Taiwan Dollar,TWD,31.1331,30.741
Tanzanian Shilling,TZS,2570.5925,2464.64,,Tanzanian Shilling,TZS,2581.6857,2459.64
Uganda Shilling,UGX,3604.562,3633,,Uganda Shilling,UGX,3607.6258,3480
US Dollar,USD,1,1,,US Dollar,USD,1,1
Vietnamese Dong,VND,25976.6462,26359.5,,Vietnamese Dong,VND,25942.5787,26304.5
Cfa Franc,XAF,591.8715,566.31,,Cfa Franc,XAF,593.6674,575.5
East Caribbean Dollar,XCD,2.705,2.705,,East Caribbean Dollar,XCD,2.705,2.705
Cfa Franc Bceao,XOF,591.8715,566.31,,Cfa Franc Bceao,XOF,593.6674,575.5
South African Rand,ZAR,17.9757,17.1195,,South African Rand,ZAR,18.0442,17.3401
Zambian Kwacha,ZMW,25.4476,22.9346,,Zambian Kwacha,ZMW,25.7048,22.196
Hungarian Forint,HUF,354.9154,328.7485,,Hungarian Forint,HUF,356.9941,336.4329
Russian Ruble,RUB,84.211,77.5,,Russian Ruble,RUB,84.5666,80.8
Peruvian Nuevo Sol,PEN,3.5876,3.3606,,Peruvian Nuevo Sol,PEN,3.6074,3.3705
Colombian Peso,COP,4077.4752,3740,,Colombian Peso,COP,4104.9001,3869
Falkland Pounds,FKP,0.7599,0.7549,,Falkland Pounds,FKP,0.7598,0.7614
Barbados Dollar,BBD,2,2,,Barbados Dollar,BBD,2,2
Chinese Renminbi Huan,CNH,7.2067,7.0728,,Chinese Renminbi Huan,CNH,7.2155,7.1262
Argentine Pesos,ARS,1226.0337,1451.3373,,Argentine Pesos,ARS,1207.268,1446.7523
Uruguayan Peso,UYU,41.2904,39.485,,Uruguayan Peso,UYU,41.4295,39.86
Honduran lempira,HNL,25.9747,26.3326,,Honduran lempira,HNL,25.9434,26.3025
Kyrgyzstan,KGS,87.3771,87.4186,,Kyrgyzstan,KGS,87.3726,87.4181
Myanmar kyat,MMK,2099.999,2100.0003,,Myanmar kyat,MMK,2099.9991,2099.9984
Romania,RON,4.4777,4.3883,,Romania,RON,4.4848,4.4079
South Sudanese Pound,SSP,4465.3106,4570.228,,South Sudanese Pound,SSP,4454.2717,4587.1729
Yemeni rial,YER,243.0593,238.4423,,Yemeni rial,YER,243.4771,238.6525
 Laotian Kip , LAK ,21665.7311,21708.1608,, Laotian Kip , LAK ,21662.1021,21620.2729
 Zimbabwe Gold , ZWG ,26.7779,26.1901,, Zimbabwe Gold , ZWG ,26.8085,26.4471
